Label,EPSG_usft,EPSG_ft,EPSG_m
AL East,,,26929
AL West,,,26930
AR North,3433,,26951
AR South,3434,,26952
AZ Central,,2223,
AZ East,,2222,
AZ West,,2224,
CA I,2225,,26941
CA II,2226,,26942
CA III,2227,,26943
CA IV,2228,,26944
CA V,2229,,26945
CA VI,2230,,26946
CO Central,2232,,26954
CO North,2231,,26953
CO South,2233,,26955
CT,2234,,26956
DE,2235,,26957
FL East,2236,,26958
FL North,2238,,26960
FL West,2237,,26959
GA East,2239,,26966
GA West,2240,,26967
IA North,3417,,26975
IA South,3418,,26976
ID Central,2242,,26969
ID East,2241,,26968
ID West,2243,,26970
IL East,3435,,26971
IL West,3436,,26772
IN East,2965,,26973
IN West,2966,,26974
KS North,3419,,26977
KS South,3420,,26978
KY North,2246,,2205
KY Single,3089,,3088
KY South,2247,,26980
LA North,3451,,26981
LA South,3452,,26982
MA Island,2250,,26987
MA Mainland,2249,,26986
MD,2248,,26985
ME East,26847,,26983
ME West,26848,,26984
MI Central,2252,,26989
MI North,,2251,26988
MI South,,2253,26990
MN Central,26850,,26992
MN North,26849,,26991
MN South,26851,,26993
MO Central,,,26997
MO East,,,26996
MO West,,,26998
MS East,2254,,26994
MS West,2255,,26995
MT,,2256,32100
NC,2264,,32119
ND North,,2265,32120
ND South,,2266,32121
NE,26852,,32104
NH,3437,,32110
NJ,3424,,32111
NM Central,2258,,32113
NM East,2257,,32112
NM West,2259,,32114
NV Central,3422,,32108
NV East,3421,,32107
NV West,3423,,32109
NY Central,2261,,32116
NY East,2260,,32115
NY Long Island,2263,,32118
NY West,2262,,32117
OH North,3734,,32122
OH South,3735,,32123
OK North,2267,,32124
OK South,2268,,32125
OR North,2269,,32126
OR South,2270,,32127
PA North,2271,,32128
PA South,2272,,32129
RI,3438,,32130
SC,,2273,32133
SD North,4457,,32134
SD South,3455,,32135
TN,2274,,32136
TX Central,2277,,32139
TX North,2275,,32137
TX North Central,2276,,32138
TX South,2279,,32141
TX South Central,2278,,32140
UT Central,3566,2281,32143
UT North,3560,2280,32142
UT South,3567,2282,32144
VA North,2283,,32146
VA South,2284,,32147
VT,5646,,32145
WA North,2285,,32148
WA South,2286,,32149
WI Central,2288,,32153
WI North,2287,,32152
WI South,2289,,32154
WV North,26853,,32150
WV South,26854,,32151
WY East,3736,,32155
WY East Central,3737,,32156
WY West,3739,,32158
WY West Central,3738,,32157
